Round: 1
Created: paoletti0 (distance: 76, speed: 2, health: 2)
Created: darden1 (distance: 66, speed: 7, health: 5)
Created: garcia2 (distance: 133, speed: 6, health: 1)
Created: cris3 (distance: 130, speed: 4, health: 2)
Created: bing4 (distance: 155, speed: 3, health: 4)
Created: will5 (distance: 43, speed: 7, health: 4)
Created: fee6 (distance: 43, speed: 3, health: 4)
Created: noah7 (distance: 133, speed: 1, health: 5)
Created: potatobot8 (distance: 150, speed: 3, health: 2)
Created: paoletti9 (distance: 220, speed: 3, health: 3)
Created: darden10 (distance: 180, speed: 5, health: 5)
Created: garcia11 (distance: 128, speed: 3, health: 1)
Created: cris12 (distance: 259, speed: 7, health: 2)
Created: bing13 (distance: 68, speed: 2, health: 1)
Created: will14 (distance: 233, speed: 2, health: 3)
Created: fee15 (distance: 225, speed: 4, health: 1)
Created: noah16 (distance: 28, speed: 7, health: 5)
Created: potatobot17 (distance: 124, speed: 4, health: 5)
Created: paoletti18 (distance: 171, speed: 2, health: 3)
Created: darden19 (distance: 260, speed: 8, health: 4)
Created: garcia20 (distance: 107, speed: 4, health: 5)
Created: cris21 (distance: 109, speed: 6, health: 2)
Created: bing22 (distance: 6, speed: 7, health: 5)
Created: will23 (distance: 173, speed: 10, health: 4)
Created: fee24 (distance: 246, speed: 10, health: 3)
Created: noah25 (distance: 260, speed: 10, health: 5)
Created: potatobot26 (distance: 130, speed: 9, health: 3)
Created: paoletti27 (distance: 125, speed: 6, health: 3)
Created: darden28 (distance: 169, speed: 9, health: 4)
Created: garcia29 (distance: 169, speed: 5, health: 5)
Created: cris30 (distance: 223, speed: 4, health: 5)
Created: bing31 (distance: 182, speed: 3, health: 3)
Created: will32 (distance: 83, speed: 9, health: 1)
Created: fee33 (distance: 238, speed: 9, health: 5)
Created: noah34 (distance: 193, speed: 10, health: 4)
Created: potatobot35 (distance: 55, speed: 10, health: 3)
Created: paoletti36 (distance: 257, speed: 3, health: 3)
Created: darden37 (distance: 300, speed: 9, health: 3)
Created: garcia38 (distance: 169, speed: 5, health: 2)
Created: cris39 (distance: 52, speed: 8, health: 3)
Created: bing40 (distance: 232, speed: 3, health: 4)
Created: will41 (distance: 123, speed: 2, health: 3)
Created: fee42 (distance: 288, speed: 5, health: 3)
Created: noah43 (distance: 157, speed: 2, health: 4)
Created: potatobot44 (distance: 162, speed: 9, health: 2)
Created: paoletti45 (distance: 47, speed: 10, health: 4)
Created: darden46 (distance: 146, speed: 6, health: 2)
Created: garcia47 (distance: 152, speed: 6, health: 5)
Created: cris48 (distance: 131, speed: 9, health: 2)
Created: bing49 (distance: 82, speed: 1, health: 5)
Created: will50 (distance: 175, speed: 10, health: 1)
Created: fee51 (distance: 23, speed: 8, health: 2)
Created: noah52 (distance: 157, speed: 8, health: 2)
Created: potatobot53 (distance: 118, speed: 6, health: 5)
Created: paoletti54 (distance: 105, speed: 1, health: 1)
Created: darden55 (distance: 277, speed: 9, health: 1)
Created: garcia56 (distance: 273, speed: 9, health: 4)
Created: cris57 (distance: 149, speed: 8, health: 2)
Created: bing58 (distance: 171, speed: 2, health: 5)
Created: will59 (distance: 81, speed: 5, health: 4)
Created: fee60 (distance: 284, speed: 7, health: 3)
Created: noah61 (distance: 224, speed: 8, health: 4)
Created: potatobot62 (distance: 227, speed: 8, health: 3)
Created: paoletti63 (distance: 173, speed: 9, health: 1)
Created: darden64 (distance: 198, speed: 3, health: 3)
Created: garcia65 (distance: 172, speed: 6, health: 5)
Created: cris66 (distance: 284, speed: 7, health: 3)
Created: bing67 (distance: 154, speed: 2, health: 2)
Created: will68 (distance: 281, speed: 3, health: 1)
Created: fee69 (distance: 200, speed: 4, health: 1)
Created: noah70 (distance: 65, speed: 3, health: 1)
Created: potatobot71 (distance: 126, speed: 1, health: 4)
Created: paoletti72 (distance: 36, speed: 10, health: 2)
Created: darden73 (distance: 11, speed: 4, health: 3)
Created: garcia74 (distance: 48, speed: 10, health: 3)
Created: cris75 (distance: 248, speed: 7, health: 2)
Created: bing76 (distance: 110, speed: 3, health: 1)
Created: will77 (distance: 20, speed: 9, health: 1)
Created: fee78 (distance: 26, speed: 7, health: 1)
Created: noah79 (distance: 219, speed: 4, health: 2)
Created: potatobot80 (distance: 212, speed: 3, health: 1)
Created: paoletti81 (distance: 273, speed: 1, health: 3)
Created: darden82 (distance: 292, speed: 6, health: 2)
Created: garcia83 (distance: 246, speed: 8, health: 2)
Created: cris84 (distance: 106, speed: 8, health: 5)
Created: bing85 (distance: 32, speed: 3, health: 4)
Created: will86 (distance: 64, speed: 4, health: 4)
Created: fee87 (distance: 88, speed: 1, health: 4)
Created: noah88 (distance: 6, speed: 9, health: 1)
Created: potatobot89 (distance: 87, speed: 5, health: 4)
Created: paoletti90 (distance: 95, speed: 6, health: 4)
Created: darden91 (distance: 152, speed: 2, health: 1)
Created: garcia92 (distance: 129, speed: 10, health: 3)
Created: cris93 (distance: 53, speed: 5, health: 4)
Created: bing94 (distance: 264, speed: 2, health: 1)
Created: will95 (distance: 245, speed: 8, health: 5)
Created: fee96 (distance: 192, speed: 9, health: 3)
Created: noah97 (distance: 96, speed: 1, health: 5)
Created: potatobot98 (distance: 68, speed: 10, health: 1)
Created: paoletti99 (distance: 94, speed: 2, health: 4)
Created: darden100 (distance: 260, speed: 10, health: 2)
Created: garcia101 (distance: 77, speed: 6, health: 3)
Created: cris102 (distance: 235, speed: 6, health: 2)
Created: bing103 (distance: 237, speed: 6, health: 3)
Created: will104 (distance: 121, speed: 4, health: 1)
Created: fee105 (distance: 37, speed: 5, health: 1)
Created: noah106 (distance: 78, speed: 1, health: 3)
Created: potatobot107 (distance: 294, speed: 9, health: 5)
Created: paoletti108 (distance: 132, speed: 4, health: 5)
Created: darden109 (distance: 15, speed: 9, health: 2)
Created: garcia110 (distance: 16, speed: 2, health: 2)
Created: cris111 (distance: 90, speed: 8, health: 5)
Created: bing112 (distance: 93, speed: 5, health: 5)
Created: will113 (distance: 121, speed: 5, health: 3)
Created: fee114 (distance: 188, speed: 1, health: 2)
Created: noah115 (distance: 57, speed: 8, health: 3)
Created: potatobot116 (distance: 154, speed: 5, health: 3)
Created: paoletti117 (distance: 90, speed: 7, health: 4)
